Atomic Composition,Al,Co,Cr,Cu,Fe,Hf,Mo,Nb,B,C,Li,Mn,Ta,Ti,Mg,Ni,Si,V,Sc,Sn,W,Zr,Zn,Y,Grosser,BCC,FCC,Im,HCP,B2,Group,Gp_Name,ROM Density,Measured Density,Vickers Hardness,Type_of_Test,Type of Test,Yield Strength (MPa),Tensile Strength (MPa),Elongation (%),ROM Modulus,Measured Modulus
CoFeNi,NA,33.33,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.5,NA,125,1,C,204,NA,NA,207,NA
CoFeNi,NA,33.33,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.5,NA,125,1,C,209,NA,NA,207,NA
CoFeNi,NA,33.33,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.5,NA,NA,2,T,211,513,31,207,NA
CoFeNiSi0.25,NA,30.77,NA,NA,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.77,7.69,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,7.7,NA,149,1,C,196,NA,NA,194,NA
CoFeNiSi0.5,NA,28.57,NA,NA,28.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57,14.29,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,7.1,NA,287,1,C,476,NA,NA,NA,NA
CoFeNiSi0.75,NA,26.67,NA,NA,26.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,20,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,6.6,NA,570,1,C,1301,NA,NA,NA,NA
Al0.25CoFeNi,7.69,30.77,NA,NA,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,7.9,NA,138,1,C,158,NA,NA,196,NA
Al0.5CoFeNi,14.29,28.57,NA,NA,28.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,7.4,NA,212,1,C,346,NA,NA,187,NA
Al0.75CoFeNi,20,26.67,NA,NA,26.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,7,NA,385,1,C,794,NA,NA,179,NA
CoCrFeNi,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.2,NA,NA,2,T,148,413,48,225,NA
CoCrFeNi,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.2,NA,116,,NA,NA,NA,NA,225,NA
CoCrFeNi,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.2,NA,113,,NA,NA,NA,NA,225,NA
CoCrFeMo0.5Ni,NA,22.22,22.22,NA,22.22,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,3d TM HEAs and CCAs in the Al-Co-Cr-Fe-Mn-Ni system and derivates ,8.5,NA,210,,NA,NA,NA,NA,NA,NA
